time,low,high,open,close,volume
2021-03-22 01:00:00,56325.0,56765.29,56600.0,56644.66,837.33469839
2021-03-22 02:00:00,56450.0,57040.0,56644.66,56978.95,425.95137219
2021-03-22 03:00:00,56982.48,57627.36,56982.49,57554.94,331.68025354
2021-03-22 04:00:00,57431.3,57820.61,57561.42,57610.01,303.26918844
2021-03-22 05:00:00,57300.72,57755.0,57610.01,57578.89,187.73915684
2021-03-22 06:00:00,57571.43,57875.79,57578.89,57663.53,211.06481527
2021-03-22 07:00:00,57515.06,57832.07,57657.66,57559.82,179.23991439
2021-03-22 08:00:00,57104.95,57688.74,57572.41,57191.36,193.67474508
2021-03-22 09:00:00,57050.0,57396.21,57191.36,57364.05,206.49740081
2021-03-22 10:00:00,57275.74,58421.68,57364.05,57898.93,576.0118745
2021-03-22 11:00:00,57565.77,58146.4,57903.27,57714.09,439.13496241
2021-03-22 12:00:00,56840.0,57756.04,57722.74,57250.01,697.28224708
2021-03-22 13:00:00,56585.0,57425.22,57250.01,56999.99,1175.11207501
2021-03-22 14:00:00,56800.0,57304.65,57000.0,57012.15,917.82309882
2021-03-22 15:00:00,56918.72,57236.43,57018.75,57105.1,535.36094342
2021-03-22 16:00:00,56215.0,57225.53,57107.89,56794.35,1088.70881131
2021-03-22 17:00:00,56577.99,57203.59,56793.11,57081.53,559.68246752
2021-03-22 18:00:00,56315.23,57190.0,57092.51,56486.74,637.88143488
2021-03-22 19:00:00,55555.0,56548.06,56478.14,55565.68,1765.75814938
2021-03-22 20:00:00,54211.0,56011.31,55564.0,54558.79,2176.87128137
2021-03-22 21:00:00,54349.3,54990.0,54558.66,54581.04,1927.97568228
2021-03-22 22:00:00,53739.5,54676.31,54580.15,54620.0,2282.03802337
2021-03-22 23:00:00,54088.0,54900.0,54620.0,54110.07,1248.97380291
2021-03-23 00:00:00,53812.0,54793.92,54111.49,54722.93,1096.64796042
2021-03-23 01:00:00,54546.42,55396.95,54723.8,55158.49,1001.79967013
2021-03-23 02:00:00,54429.66,55200.0,55167.6,54553.07,603.61323327
2021-03-23 03:00:00,54375.53,54731.33,54562.12,54702.55,450.29972092
2021-03-23 04:00:00,54062.44,54792.84,54702.55,54461.43,539.74522817
2021-03-23 05:00:00,53141.91,54483.29,54461.42,53543.9,1642.47762704
2021-03-23 06:00:00,53000.0,53772.53,53544.17,53311.92,1106.44129347
2021-03-23 07:00:00,53310.9,54293.6,53311.13,54168.72,606.29416033
2021-03-23 08:00:00,53827.63,54493.99,54176.7,54330.65,453.97276688
2021-03-23 09:00:00,54241.65,54700.78,54329.37,54609.68,348.81392114
2021-03-23 10:00:00,54449.73,54817.29,54609.68,54678.24,345.22307715
2021-03-23 11:00:00,54100.0,54812.05,54678.25,54249.26,488.70033203
2021-03-23 12:00:00,54231.09,55246.85,54249.26,55147.45,640.92830743
2021-03-23 13:00:00,54998.68,55478.42,55148.09,55276.8,1340.46787144
2021-03-23 14:00:00,54650.0,55367.58,55274.7,55169.35,1332.57946224
2021-03-23 15:00:00,54938.43,55352.16,55171.49,55172.88,832.60281888
2021-03-23 16:00:00,54823.23,55750.0,55182.4,55538.99,857.35482757
2021-03-23 17:00:00,55430.0,55798.77,55538.99,55735.81,962.43467233
2021-03-23 18:00:00,55302.64,55858.0,55731.54,55360.49,966.64805756
2021-03-23 19:00:00,54816.47,55554.75,55360.49,55030.53,1163.76375278
2021-03-23 20:00:00,54300.61,55093.66,55019.6,54451.06,799.22664449
2021-03-23 21:00:00,54179.98,54738.96,54452.79,54654.01,631.59971468
